constructorId,driverId,driverNumber,engineManufacturerId,gap,interval,lap,position,race,time,tyreManufacturerId,year
sauber,adrian-sutil,99,ferrari,+1.722,+0.114,66,17,07-canada,1:20.226,pirelli,2014
lotus-f1,pastor-maldonado,13,renault,+3.010,+1.288,21,18,07-canada,1:21.514,pirelli,2014
caterham,kamui-kobayashi,10,renault,+4.626,+1.616,20,19,07-canada,1:23.130,pirelli,2014
caterham,marcus-ericsson,9,renault,+32.537,+27.911,7,20,07-canada,1:51.041,pirelli,2014
force-india,sergio-perez,11,mercedes,,,59,1,08-austria,1:12.142,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,+0.075,+0.075,41,2,08-austria,1:12.217,pirelli,2014
williams,valtteri-bottas,77,mercedes,+0.439,+0.364,63,3,08-austria,1:12.581,pirelli,2014
williams,felipe-massa,19,mercedes,+0.444,+0.005,63,4,08-austria,1:12.586,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+0.453,+0.009,58,5,08-austria,1:12.595,pirelli,2014
mercedes,nico-rosberg,6,mercedes,+0.456,+0.003,50,6,08-austria,1:12.598,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,+0.604,+0.148,53,7,08-austria,1:12.746,pirelli,2014
mclaren,jenson-button,22,mercedes,+0.716,+0.112,60,8,08-austria,1:12.858,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,+0.742,+0.026,55,9,08-austria,1:12.884,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+0.918,+0.176,55,10,08-austria,1:13.060,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,+1.014,+0.096,60,11,08-austria,1:13.156,pirelli,2014
lotus-f1,pastor-maldonado,13,renault,+1.045,+0.031,64,12,08-austria,1:13.187,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,+1.175,+0.130,55,13,08-austria,1:13.317,pirelli,2014
sauber,adrian-sutil,99,ferrari,+1.567,+0.392,59,14,08-austria,1:13.709,pirelli,2014
lotus-f1,romain-grosjean,8,renault,+1.811,+0.244,42,15,08-austria,1:13.953,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,+1.894,+0.083,53,16,08-austria,1:14.036,pirelli,2014
red-bull,sebastian-vettel,1,renault,+2.112,+0.218,30,17,08-austria,1:14.254,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,+2.190,+0.078,23,18,08-austria,1:14.332,pirelli,2014
marussia,jules-bianchi,17,ferrari,+2.334,+0.144,65,19,08-austria,1:14.476,pirelli,2014
caterham,marcus-ericsson,9,renault,+2.530,+0.196,33,20,08-austria,1:14.672,pirelli,2014
marussia,max-chilton,4,ferrari,+2.705,+0.175,40,21,08-austria,1:14.847,pirelli,2014
caterham,kamui-kobayashi,10,renault,+3.132,+0.427,40,22,08-austria,1:15.274,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,,,26,1,09-great-britain,1:37.176,pirelli,2014
red-bull,sebastian-vettel,1,renault,+0.305,+0.305,52,2,09-great-britain,1:37.481,pirelli,2014
mercedes,nico-rosberg,6,mercedes,+0.915,+0.610,26,3,09-great-britain,1:38.091,pirelli,2014
williams,valtteri-bottas,77,mercedes,+1.088,+0.173,34,4,09-great-britain,1:38.264,pirelli,2014
mclaren,jenson-button,22,mercedes,+1.108,+0.020,52,5,09-great-britain,1:38.284,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,+1.231,+0.123,45,6,09-great-britain,1:38.407,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+1.283,+0.052,34,7,09-great-britain,1:38.459,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+1.411,+0.128,52,8,09-great-britain,1:38.587,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,+1.449,+0.038,52,9,09-great-britain,1:38.625,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,+1.501,+0.052,32,10,09-great-britain,1:38.677,pirelli,2014
force-india,sergio-perez,11,mercedes,+1.540,+0.039,41,11,09-great-britain,1:38.716,pirelli,2014
lotus-f1,romain-grosjean,8,renault,+1.743,+0.203,48,12,09-great-britain,1:38.919,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,+2.085,+0.342,44,13,09-great-britain,1:39.261,pirelli,2014
marussia,jules-bianchi,17,ferrari,+2.785,+0.700,51,14,09-great-britain,1:39.961,pirelli,2014
sauber,adrian-sutil,99,ferrari,+2.865,+0.080,34,15,09-great-britain,1:40.041,pirelli,2014
lotus-f1,pastor-maldonado,13,renault,+3.138,+0.273,48,16,09-great-britain,1:40.314,pirelli,2014
marussia,max-chilton,4,ferrari,+3.223,+0.085,50,17,09-great-britain,1:40.399,pirelli,2014
caterham,kamui-kobayashi,10,renault,+4.286,+1.063,31,18,09-great-britain,1:41.462,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,+5.390,+1.104,7,19,09-great-britain,1:42.566,pirelli,2014
caterham,marcus-ericsson,9,renault,+7.143,+1.753,7,20,09-great-britain,1:44.319,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,,,53,1,10-germany,1:19.908,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,+0.316,+0.316,56,2,10-germany,1:20.224,pirelli,2014
