driverId,points,position,race,year
felipe-massa,107,7,19-united-states,2012
romain-grosjean,96,8,19-united-states,2012
nico-rosberg,93,9,19-united-states,2012
sergio-perez,66,10,19-united-states,2012
kamui-kobayashi,58,11,19-united-states,2012
nico-hulkenberg,53,12,19-united-states,2012
paul-di-resta,46,13,19-united-states,2012
pastor-maldonado,45,14,19-united-states,2012
michael-schumacher,43,15,19-united-states,2012
bruno-senna,31,16,19-united-states,2012
jean-eric-vergne,12,17,19-united-states,2012
daniel-ricciardo,10,18,19-united-states,2012
timo-glock,0,19,19-united-states,2012
heikki-kovalainen,0,20,19-united-states,2012
vitaly-petrov,0,21,19-united-states,2012
jerome-dambrosio,0,22,19-united-states,2012
charles-pic,0,23,19-united-states,2012
narain-karthikeyan,0,24,19-united-states,2012
pedro-de-la-rosa,0,25,19-united-states,2012
sebastian-vettel,281,1,20-brazil,2012
fernando-alonso,278,2,20-brazil,2012
kimi-raikkonen,207,3,20-brazil,2012
lewis-hamilton,190,4,20-brazil,2012
jenson-button,188,5,20-brazil,2012
mark-webber,179,6,20-brazil,2012
felipe-massa,122,7,20-brazil,2012
romain-grosjean,96,8,20-brazil,2012
nico-rosberg,93,9,20-brazil,2012
sergio-perez,66,10,20-brazil,2012
nico-hulkenberg,63,11,20-brazil,2012
kamui-kobayashi,60,12,20-brazil,2012
michael-schumacher,49,13,20-brazil,2012
paul-di-resta,46,14,20-brazil,2012
pastor-maldonado,45,15,20-brazil,2012
bruno-senna,31,16,20-brazil,2012
jean-eric-vergne,16,17,20-brazil,2012
daniel-ricciardo,10,18,20-brazil,2012
vitaly-petrov,0,19,20-brazil,2012
timo-glock,0,20,20-brazil,2012
charles-pic,0,21,20-brazil,2012
heikki-kovalainen,0,22,20-brazil,2012
jerome-dambrosio,0,23,20-brazil,2012
narain-karthikeyan,0,24,20-brazil,2012
pedro-de-la-rosa,0,25,20-brazil,2012
